CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
CPU 20,RAM 7,S 56,GPU 26,15,FHD,Non-Touch,Laptop,IND,187998.426
CPU 42,RAM 16,S 23,GPU 28,15,HD+,Non-Touch,Laptop,AUS,43648.605
CPU 20,RAM 15,S 52,GPU 19,17,FHD,Non-Touch,Laptop,IND,121702.84
CPU 20,RAM 3,S 7,GPU 19,15,FHD,Non-Touch,Laptop,IND,132800.976
CPU 25,RAM 15,S 54,GPU 19,DT,DT,DT,Desktop,AUS,66139.5
CPU 25,RAM 15,S 41,GPU 28,15,UHD,Touch,Laptop,FRA,51099.3
CPU 10,RAM 15,S 54,GPU 17,17,FHD,Non-Touch,Laptop,AUS,124225.29
CPU 6,RAM 15,S 23,GPU 28,17,HD+,Non-Touch,Laptop,IND,52446.044
CPU 22,RAM 1,S 54,GPU 17,DT,DT,DT,Desktop,FRA,99990.751
CPU 25,RAM 15,S 5,GPU 14,15,FHD,Non-Touch,Laptop,FRA,60404.4
CPU 20,RAM 15,S 25,GPU 28,15,FHD,Touch,Laptop,FRA,73415.202
CPU 10,RAM 15,S 23,GPU 32,DT,DT,DT,Desktop,FRA,68263.258
CPU 6,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,IND,165757.55
CPU 6,RAM 15,S 54,GPU 28,13,QHD+,Non-Touch,Laptop,IND,175161.56
CPU 20,RAM 15,S 23,GPU 5,15,UHD,Non-Touch,Laptop,FRA,76726.209
CPU 22,RAM 3,S 49,GPU 18,15,FHD,Non-Touch,Laptop,AUS,191508.03
CPU 20,RAM 3,S 4,GPU 19,15,UHD,Non-Touch,Laptop,FRA,129919.188
CPU 20,RAM 3,S 23,GPU 26,15,FHD,Non-Touch,Laptop,GBR,225027.621
CPU 20,RAM 3,S 23,GPU 18,15,FHD,Non-Touch,Laptop,AUS,171977.715
CPU 20,RAM 3,S 54,GPU 28,15,UHD,Non-Touch,Laptop,FRA,208844.181
CPU 20,RAM 3,S 56,GPU 2,DT,DT,DT,Laptop,IND,157118.416
CPU 7,RAM 13,S 23,GPU 4,15,HD+,Non-Touch,Laptop,IND,33728.058
CPU 25,RAM 14,S 53,GPU 28,15,HD+,Non-Touch,Laptop,FRA,30737.7
CPU 10,RAM 15,S 56,GPU 18,DT,DT,DT,Desktop,IND,128756.88
